cveId,dateReported,vulnerabilityType,language,fixes,severity,component
CVE-2019-2205,2019-11-13,Remote Code Execution Vulnerability,c,"[{'commitId': 'af8de44fa4f7c228d812e8db86d4d16585ed1050', 'patchUrl': 'https://android.googlesource.com/platform/external/chromium-libpac/+/af8de44fa4f7c228d812e8db86d4d16585ed1050'}]",Critical,System
CVE-2017-13257,2018-04-04,Information Disclosure Vulnerability,c,"[{'commitId': '08e68337a9eb45818d5a770570c8b1d15a14d904', 'patchUrl': 'https://android.googlesource.com/platform/system/bt/+/08e68337a9eb45818d5a770570c8b1d15a14d904'}]",High,System
CVE-2020-0245,2020-09-17,Information Disclosure Vulnerability,c,"[{'commitId': 'b875a5fe0db2e2d4bf44746bb8ca4dc1e959925e', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/av/+/b875a5fe0db2e2d4bf44746bb8ca4dc1e959925e'}]",High,Media Framework
CVE-2017-0774,2017-09-08,Denial of Service Vulnerability,c,"[{'commitId': 'd4af2450c500c7d153fd66771b613f6e6882bf08', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/av/+/d4af2450c500c7d153fd66771b613f6e6882bf08'}, {'commitId': '5f56ec847a7f6250abd36a2f8a7b7baf4f966d11', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/av/+/5f56ec847a7f6250abd36a2f8a7b7baf4f966d11'}]",High,Media Framework
CVE-2019-1995,2019-02-28,Information Disclosure Vulnerability,java,"[{'commitId': 'b541ef378df154f30cd1d18408354eff6004b9ef', 'patchUrl': 'https://android.googlesource.com/platform/packages/apps/Email/+/b541ef378df154f30cd1d18408354eff6004b9ef'}, {'commitId': '5a0b253c8797bf1c0b8dca73128e60cd1f823a6d', 'patchUrl': 'https://android.googlesource.com/platform/packages/apps/UnifiedEmail/+/5a0b253c8797bf1c0b8dca73128e60cd1f823a6d'}]",High,System
CVE-2021-0432,2021-04-13,Elevation of Privilege Vulnerability,c,"[{'commitId': '70a5fd9979ee7ff2a4071db0335813c0c5a72399', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/base/+/70a5fd9979ee7ff2a4071db0335813c0c5a72399'}]",High,Framework
CVE-2018-9547,2018-12-06,Elevation of Privilege Vulnerability,c,"[{'commitId': 'e6eb42cb2e57747e52e488d54da314bc6eabb546', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/native/+/e6eb42cb2e57747e52e488d54da314bc6eabb546'}]",High,Framework
CVE-2020-0029,2020-03-10,Information Disclosure Vulnerability,java,"[{'commitId': '2cda452b868328c4600a3d75759968c246cb47c8', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/opt/net/wifi/+/2cda452b868328c4600a3d75759968c246cb47c8'}]",High,System
CVE-2017-13191,2018-01-12,Denial of Service Vulnerability,c,"[{'commitId': 'f5b2fa243b4c45a4cd885e85f49ae548ab88c264', 'patchUrl': 'https://android.googlesource.com/platform/external/libhevc/+/f5b2fa243b4c45a4cd885e85f49ae548ab88c264'}]",High,Media Framework
CVE-2016-7916,2016-05-05,Information Disclosure Vulnerability,c,"[{'commitId': ['8148a73c9901a8794a50f950083c00ccf97d43b3'], 'patchUrl': 'http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=8148a73c9901a8794a50f950083c00ccf97d43b3'}]",High,kernel components
CVE-2015-7555,2016-04-13,Remote Code Execution Vulnerability,c,"[{'commitId': 'dc07290edccc2c3fc4062da835306f809cea1fdc', 'patchUrl': 'https://android.googlesource.com/platform/external/giflib/+/dc07290edccc2c3fc4062da835306f809cea1fdc'}]",Critical,GIFLIB
CVE-2015-3845,2015-10-01,Elevation of Privilege Vulnerability,c,"[{'commitId': 'e68cbc3e9e66df4231e70efa3e9c41abc12aea20', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/native/+/e68cbc3e9e66df4231e70efa3e9c41abc12aea20'}]",High,Binder
CVE-2017-0723,2017-08-09,Remote Code Execution Vulnerability,c,"[{'commitId': 'fe5ade4c86e2f5a86eab6c6593981d02f4c1710b', 'patchUrl': 'https://android.googlesource.com/platform/external/libavc/+/fe5ade4c86e2f5a86eab6c6593981d02f4c1710b'}]",Critical,Media Framework
CVE-2017-0689,2017-07-06,Denial of Service Vulnerability,c,"[{'commitId': '2210ff5600d3f965352a3074adff8fedddcf347e', 'patchUrl': 'https://android.googlesource.com/platform/external/libhevc/+/2210ff5600d3f965352a3074adff8fedddcf347e'}]",High,Media Framework
CVE-2021-0520,2021-06-21,Elevation of Privilege Vulnerability,c,"[{'commitId': '3b1141d44f448ea9a528ff8af8f128686c35039d', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/av/+/3b1141d44f448ea9a528ff8af8f128686c35039d'}]",High,Media Framework
CVE-2017-0666,2017-07-06,Elevation of Privilege Vulnerability,c,"[{'commitId': '5fc2df253c089b53b3e235a3f237f96a98b53977', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/native/+/5fc2df253c089b53b3e235a3f237f96a98b53977'}]",High,Framework
CVE-2017-18509,2019-08-13,Elevation of Privilege Vulnerability,unknown,"[{'commitId': ['99253eb750fda6a644d5188fb26c43bad8d5a745'], 'patchUrl': 'https://github.com/torvalds/linux/commit/99253eb750fda6a644d5188fb26c43bad8d5a745'}]",High,Kernel IPv6 multicast
CVE-2015-1593,2015-02-13,Elevation of Privilege Vulnerability,c,"[{'commitId': ['4e7c22d447bb6d7e37bfe39ff658486ae78e8d77'], 'patchUrl': 'http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=4e7c22d447bb6d7e37bfe39ff658486ae78e8d77'}]",High,kernel memory system
CVE-2019-2194,,Elevation of Privilege Vulnerability,c,"[{'commitId': 'c38310ff547909bd8fa2edc562186aa26227e572', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/native/+/c38310ff547909bd8fa2edc562186aa26227e572'}, {'commitId': '76923a32ab6ea25115b65ff86ade7235ba7b3a33', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/native/+/76923a32ab6ea25115b65ff86ade7235ba7b3a33'}]",High,System
CVE-2016-7042,2016-10-14,Elevation of Privilege Vulnerability,c,"[{'commitId': ['03dab869b7b239c4e013ec82aea22e181e441cfc'], 'patchUrl': 'http://git.kernel.org/cgit/linux/kernel/git/stable/linux-stable.git/commit/?id=03dab869b7b239c4e013ec82aea22e181e441cfc'}]",High,kernel security subsystem
CVE-2018-9510,2018-10-02,Information Disclosure Vulnerability,c,"[{'commitId': '6e4b8e505173f803a5fc05abc09f64eef89dc308', 'patchUrl': 'https://android.googlesource.com/platform/system/bt/+/6e4b8e505173f803a5fc05abc09f64eef89dc308'}]",High,System
CVE-2018-9455,2018-11-06,Denial of Service Vulnerability,c,"[{'commitId': 'd56c7ec9e2ecfa8a8ceeb82f37187e5ea21f2101', 'patchUrl': 'https://android.googlesource.com/platform/system/bt/+/d56c7ec9e2ecfa8a8ceeb82f37187e5ea21f2101'}]",High,System
CVE-2016-6716,2016-08-05,Elevation of Privilege Vulnerability,java,"[{'commitId': 'e83fc11c982e67dd0181966f5f3a239ea6b14924', 'patchUrl': 'https://android.googlesource.com/platform/packages/apps/Launcher3/+/e83fc11c982e67dd0181966f5f3a239ea6b14924'}]",Moderate,AOSP Launcher
CVE-2017-0735,2017-08-09,Denial of Service Vulnerability,c,"[{'commitId': 'fe5ade4c86e2f5a86eab6c6593981d02f4c1710b', 'patchUrl': 'https://android.googlesource.com/platform/external/libavc/+/fe5ade4c86e2f5a86eab6c6593981d02f4c1710b'}, {'commitId': '490bed0e7dce49296d50bb519348c6a87de8a8ef', 'patchUrl': 'https://android.googlesource.com/platform/external/libavc/+/490bed0e7dce49296d50bb519348c6a87de8a8ef'}]",High,Media Framework
CVE-2016-2485,2016-03-22,Elevation of Privilege Vulnerability,c,"[{'commitId': '7cea5cb64b83d690fe02bc210bbdf08f5a87636f', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/av/+/7cea5cb64b83d690fe02bc210bbdf08f5a87636f'}]",High,Mediaserver
CVE-2017-0670,2017-07-06,Denial of Service Vulnerability,c,"[{'commitId': 'e102faee8b2f87c28616e7f5453f9a11eea9b122', 'patchUrl': 'https://android.googlesource.com/platform/bionic/+/e102faee8b2f87c28616e7f5453f9a11eea9b122'}]",High,Framework
CVE-2017-14496,2017-10-03,Remote Code Execution Vulnerability,c,"[{'commitId': 'ff755ca73c98a1f2706fe86996e4bf6215054834', 'patchUrl': 'https://android.googlesource.com/platform/external/dnsmasq/+/ff755ca73c98a1f2706fe86996e4bf6215054834'}, {'commitId': '68a974de72b5091ce608815a349daaeb05cdeab5', 'patchUrl': 'https://android.googlesource.com/platform/external/dnsmasq/+/68a974de72b5091ce608815a349daaeb05cdeab5'}]",High,System
CVE-2016-0841,2016-04-18,Remote Code Execution Vulnerability,c,"[{'commitId': '3097f364237fb552871f7639d37a7afa4563e252', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/av/+/3097f364237fb552871f7639d37a7afa4563e252'}]",Critical,Mediaserver
CVE-2021-0473,2021-06-11,Remote Code Execution Vulnerability,c,"[{'commitId': 'cd0f77f71ff4166529fc22aa7db6c32dbb1d2c1c', 'patchUrl': 'https://android.googlesource.com/platform/system/nfc/+/cd0f77f71ff4166529fc22aa7db6c32dbb1d2c1c'}]",Critical,System
CVE-2016-3914,2016-07-28,Elevation of Privilege Vulnerability,java,"[{'commitId': '3a3a5d145d380deef2d5b7c3150864cd04be397f', 'patchUrl': 'https://android.googlesource.com/platform/packages/providers/TelephonyProvider/+/3a3a5d145d380deef2d5b7c3150864cd04be397f'}]",High,Telephony
CVE-2018-9506,2018-10-02,Information Disclosure Vulnerability,c,"[{'commitId': '830cb39cb2a0f1bf6704d264e2a5c5029c175dd7', 'patchUrl': 'https://android.googlesource.com/platform/system/bt/+/830cb39cb2a0f1bf6704d264e2a5c5029c175dd7'}]",High,System
CVE-2017-0559,2016-12-25,Information Disclosure Vulnerability,c,"[{'commitId': '16882f721279a82a1c860ac689ce570b16fe26a0', 'patchUrl': 'https://android.googlesource.com/platform/external/skia/+/16882f721279a82a1c860ac689ce570b16fe26a0'}]",Moderate,libskia
CVE-2020-0438,2020-11-10,Elevation of Privilege Vulnerability,c,"[{'commitId': '10b19f86d9d8bec6f47f31449593711479f336a5', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/native/+/10b19f86d9d8bec6f47f31449593711479f336a5'}]",High,Media Framework
CVE-2015-6610,2015-08-19,Elevation of Privilege Vulnerability,c,"[{'commitId': 'd26052738f7b095b7e318c8dde7f32db0a48450c', 'patchUrl': 'https://android.googlesource.com/platform%2Fframeworks%2Fav/+/d26052738f7b095b7e318c8dde7f32db0a48450c'}, {'commitId': '820c105f7a4dc0971ee563caea4c9b346854a2f7', 'patchUrl': 'https://android.googlesource.com/platform%2Fframeworks%2Fav/+/820c105f7a4dc0971ee563caea4c9b346854a2f7'}]",High,libstagefright
CVE-2019-2028,2019-04-19,Remote Code Execution Vulnerability,unknown,"[{'commitId': 'f2044b7e4595954d0f958c9ee4d5183486191ca0', 'patchUrl': 'https://android.googlesource.com/platform/external/libmpeg2/+/f2044b7e4595954d0f958c9ee4d5183486191ca0'}]",Critical,Media Framework
CVE-2017-0762,2017-09-08,Remote Code Execution Vulnerability,c,"[{'commitId': '50acbc692998474c598834c9453ca9675b8fb95b', 'patchUrl': 'https://android.googlesource.com/platform/external/libhevc/+/50acbc692998474c598834c9453ca9675b8fb95b'}]",Critical,Media Framework
CVE-2015-8966,2016-09-10,Elevation of Privilege Vulnerability,c,"[{'commitId': ['76cc404bfdc0d419c720de4daaf2584542734f42'], 'patchUrl': 'https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=76cc404bfdc0d419c720de4daaf2584542734f42'}]",Critical,Kernel
CVE-2016-0816,2016-03-12,Remote Code Execution Vulnerability,c,"[{'commitId': '4a524d3a8ae9aa20c36430008e6bd429443f8f1d', 'patchUrl': 'https://android.googlesource.com/platform/external/libavc/+/4a524d3a8ae9aa20c36430008e6bd429443f8f1d'}]",Critical,Mediaserver
CVE-2018-9551,2018-12-06,Remote Code Execution Vulnerability,c,"[{'commitId': '0e5db9fee912d367a572b88f0d86f9a33006fa29', 'patchUrl': 'https://android.googlesource.com/platform/external/aac/+/0e5db9fee912d367a572b88f0d86f9a33006fa29'}]",Critical,Media Framework
CVE-2019-2090,2019-06-07,Elevation of Privilege Vulnerability,java,"[{'commitId': '1d1faf36c7e3fe6b672e22ff9c5d39a61b58663c', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/base/+/1d1faf36c7e3fe6b672e22ff9c5d39a61b58663c'}]",High,Framework
CVE-2016-3742,2016-07-11,Remote Code Execution Vulnerability,c,"[{'commitId': 'a583270e1c96d307469c83dc42bd3c5f1b9ef63f', 'patchUrl': 'https://android.googlesource.com/platform/external/libavc/+/a583270e1c96d307469c83dc42bd3c5f1b9ef63f'}]",Critical,Mediaserver
CVE-2016-5696,2016-07-12,Denial of Service Vulnerability,c,"[{'commitId': ['75ff39ccc1bd5d3c455b6822ab09e533c551f758'], 'patchUrl': 'http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=75ff39ccc1bd5d3c455b6822ab09e533c551f758'}]",Moderate,kernel networking subsystem
CVE-2017-0719,2017-08-09,Remote Code Execution Vulnerability,c,"[{'commitId': 'f0afcf1943a1844e2a82ac3c5ab4d49427102cd1', 'patchUrl': 'https://android.googlesource.com/platform/external/libmpeg2/+/f0afcf1943a1844e2a82ac3c5ab4d49427102cd1'}]",Critical,Media Framework
CVE-2020-0382,2020-09-17,Information Disclosure Vulnerability,java,"[{'commitId': 'a898d1198050c40b73f1467ea5adaf881f3d7961', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/base/+/a898d1198050c40b73f1467ea5adaf881f3d7961'}, {'commitId': '90f8249030e02080e937eeed12fc8c8c692bbc64', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/native/+/90f8249030e02080e937eeed12fc8c8c692bbc64'}]",High,Framework
CVE-2015-3828,2015-10-01,Remote Code Execution Vulnerability,c,"[{'commitId': 'f4f7e0c102819f039ebb1972b3dba1d3186bc1d1', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/av/+/f4f7e0c102819f039ebb1972b3dba1d3186bc1d1'}]",Critical,libstagefright
CVE-2016-7097,2016-08-28,Elevation of Privilege Vulnerability,c,"[{'commitId': ['073931017b49d9458aa351605b43a7e34598caef'], 'patchUrl': 'http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=073931017b49d9458aa351605b43a7e34598caef'}]",Moderate,kernel file system
CVE-2020-0101,2020-05-14,Information Disclosure Vulnerability,c,"[{'commitId': '63889889c06e95529432177c457d6cdb4fcecac8', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/av/+/63889889c06e95529432177c457d6cdb4fcecac8'}]",High,Media Framework
CVE-2019-2004,2019-06-19,Information Disclosure Vulnerability,c,"[{'commitId': '86c2985b0be7590aa979d25a7e5fb927cc1d2dcc', 'patchUrl': 'https://android.googlesource.com/platform/frameworks/native/+/86c2985b0be7590aa979d25a7e5fb927cc1d2dcc'}]",High,Framework
