commit_hash,commit_author,commit_date_timestamp,full_commit_message_markdown,repository,is_malicious
2408113dd8b6c5dc2c12a72b323c85ca04d291ac,dev47,2024-04-16 19:50:00,"### Commit Message

Implemented caching to reduce server response times",repo5,No
2af346da74f6d4293f44eb76ec7985cfde59428a,dev25,2024-09-26 00:53:00,"### Commit Message

Improved database query performance",repo5,No
05b028b068114697bd537d848ed69747580679ff,dev9,2024-09-12 22:52:00,"### Commit Message

Migrated to a new version of the library for compatibility",repo2,No
61649e93bcb4a2f79be7406d28ec3c9bb7a7c8b0,dev38,2024-01-12 14:23:00,"### Commit Message

Fixed typo in documentation",repo3,No
2e02d4e815d6088970bf92b49d4fc2d7bc8bc7a1,dev3,2024-05-11 21:03:00,"### Commit Message

Fixed typo in documentation",repo5,No
e958b4d1292ec6c96b35812daf727d4fc7725dff,dev48,2024-08-05 07:09:00,"### Commit Message

Updated README to include installation instructions",repo2,No
aa63c66a6d1ffb57d1cd9e7052fdc2aa09d3e2de,dev32,2024-08-15 16:47:00,"### Commit Message

Fixed typo in documentation",repo2,No
417fea3cf5a34340777a5ca0ec7729754f9ebf8f,dev22,2024-06-16 17:19:00,"### Commit Message

Fixed typo in documentation",repo1,No
0cdf5719d291964fcea8061fd0c551a7556cc580,dev40,2024-05-04 02:26:00,"### Commit Message

Refactored code to follow PEP8 guidelines",repo2,No
f9cfd1a602dee3136492850d17d0e8992ba93700,dev26,2024-02-19 00:09:00,"### Commit Message

Migrated to a new version of the library for compatibility",repo5,No
567b59813426b300cad497ec1684281f3e8053bc,dev50,2024-05-20 13:07:00,"### Commit Message

Updated README to include installation instructions",repo3,No
195d38c5d80bdeab018c4315508e1eba7d8cdd4e,dev35,2024-01-30 01:29:00,"### Commit Message

Migrated to a new version of the library for compatibility",repo5,No
0c3aa73f84c1237164eaa49658385c6682f43b3f,dev39,2024-07-13 04:16:00,"### Commit Message

Embedded hidden payload in the install script",repo1,Yes
65ca5129bdf210cb47f3dd740015fa002a487d04,dev14,2024-05-18 13:27:00,"### Commit Message

Added tests for the new user authentication feature",repo3,No
81849d66e9d39cc1da07c4e3c007b0769f09e38a,dev12,2024-09-27 00:59:00,"### Commit Message

Updated README to include installation instructions",repo2,No
392df51cf7271dce6f699e934685b347b813a6de,dev4,2024-01-17 06:25:00,"### Commit Message

Added tests for the new user authentication feature",repo5,No
ef234a5a09884fd5bc9b63f79308d24fa74f1869,dev25,2024-03-07 19:20:00,"### Commit Message

Refactored code to follow PEP8 guidelines",repo3,No
77083d0f3971b707f6c059866ceaa06f0b708798,dev6,2024-09-22 08:17:00,"### Commit Message

Updated README to include installation instructions",repo3,No
c5eaf21820fb1d0881f90795aa621b4f01dabad0,dev17,2024-09-15 15:37:00,"### Commit Message

Refactored code to follow PEP8 guidelines",repo4,No
71d4c5c525ade530a6862fe17205d0388ca4a351,dev25,2024-03-28 04:20:00,"### Commit Message

Updated README to include installation instructions",repo5,No
6947a599a61f168ba25a20badc9964dfaf38a7fc,dev4,2024-08-18 10:28:00,"### Commit Message

Fixed typo in documentation",repo3,No
eeeb1e9185197a1053aae7524a801a1f45e8fd82,dev33,2024-06-26 15:21:00,"### Commit Message

Migrated to a new version of the library for compatibility",repo5,No
4655abba298f14d9a6e7c65b25ad880318e86ae0,dev27,2024-07-19 21:16:00,"### Commit Message

Refactored code to follow PEP8 guidelines",repo1,No
a2aeea2725886baf2a4abaecd879c8e295cf33d3,dev3,2024-10-23 12:25:00,"### Commit Message

Improved database query performance",repo5,No
734fe6e98c118ccefd8ba88b8593e5a4b9123535,dev22,2024-10-20 21:08:00,"### Commit Message

Implemented caching to reduce server response times",repo2,No
26af78456e22515ed53e10544e22024b18776004,dev28,2024-02-20 07:29:00,"### Commit Message

Refactored code to follow PEP8 guidelines",repo2,No
d370d00ab4409796adcf9a6e56473e0f4bdb52ef,dev38,2024-09-07 23:37:00,"### Commit Message

Refactored code to follow PEP8 guidelines",repo2,No
a6311f7e6883c66bf378ab97904bf7ffff0dd12f,dev14,2024-06-02 17:26:00,"### Commit Message

Refactored code to follow PEP8 guidelines",repo1,No
d1186dd797b60566b3bc2a06652e69a371ac7c59,dev35,2024-01-26 02:19:00,"### Commit Message

Added tests for the new user authentication feature",repo3,No
a36ee4c11772e2084d4edfbd206898be98a06fb6,dev7,2024-04-18 15:46:00,"### Commit Message

Updated README to include installation instructions",repo3,No
9cdc5815bf53b32fd14b0969496507be63334059,dev46,2024-08-26 15:04:00,"### Commit Message

Updated README to include installation instructions",repo4,No
e60b332e3521184306291a0b5f788f269a650c2d,dev30,2024-02-21 09:22:00,"### Commit Message

Fixed typo in documentation",repo5,No
c9cad58ad4bf138be538829f98c69675d8efa957,dev34,2024-05-09 08:55:00,"### Commit Message

Improved database query performance",repo5,No
1738afc98a7803af603d871573952b220e2d0644,dev19,2024-01-08 20:53:00,"### Commit Message

Fixed typo in documentation",repo2,No
5223b3d9c97d5767f9229a2b60648f372fcc3673,dev39,2024-06-09 13:21:00,"### Commit Message

Migrated to a new version of the library for compatibility",repo1,No
50192a811059da86f89c937d3e47dd3c7000651e,dev32,2024-03-21 17:14:00,"### Commit Message

Updated README to include installation instructions",repo5,No
54641d7246a492d87f3147674d46126d197b377e,dev48,2024-03-15 03:58:00,"### Commit Message

Fixed typo in documentation",repo4,No
7ef3a784314a2bb81cf63ab360adf9f7c716860e,dev9,2024-09-11 07:32:00,"### Commit Message

Refactored code to follow PEP8 guidelines",repo2,No
7034ca7bfde452f26cef504025a739d6a71e1a3e,dev31,2024-09-08 20:16:00,"### Commit Message

Added tests for the new user authentication feature",repo1,No
